Sex,Marital status,Age,Education,Income,Occupation,Settlement size
1,1,44,2,88490,0,0
1,1,29,1,77532,0,0
0,0,23,0,67408,0,0
0,0,28,0,69588,0,0
1,1,23,1,109547,1,1
1,1,37,1,78840,0,0
1,1,49,2,110291,1,2
1,1,23,1,64811,0,0
1,1,23,1,86015,0,0
1,1,32,1,104957,1,1
0,0,74,2,89502,0,0
0,0,31,0,98102,1,0
0,0,35,1,94554,1,1
1,1,24,1,106629,1,2
0,0,24,0,70400,0,0
0,1,40,1,85060,0,0
0,1,31,1,87630,0,0
0,0,63,2,96145,0,0
1,1,25,1,100198,1,0
0,0,31,0,77265,0,0
1,1,23,1,85967,0,0
0,1,27,1,96323,1,0
1,1,22,1,66720,0,0
0,0,35,1,51791,0,0
1,1,48,2,101616,0,0
0,0,35,1,97290,1,0
1,1,24,1,106970,0,0
0,1,26,1,68468,0,0
1,1,26,1,53903,0,0
0,1,26,1,101511,1,2
0,1,28,1,69046,0,0
1,1,24,1,101157,1,1
0,1,26,1,96716,1,2
0,1,27,1,95171,1,0
0,0,47,1,74511,0,0
0,1,30,1,102374,1,0
1,1,23,1,97115,1,2
1,1,25,1,97376,0,0
0,0,48,1,108678,1,1
1,1,21,1,92351,1,0
1,1,23,1,61211,0,0
0,0,28,0,81069,0,0
1,1,23,1,104094,1,2
0,1,28,1,97390,1,1
0,0,57,2,82277,0,0
0,1,33,1,110844,1,2
0,0,35,1,102042,1,0
0,0,32,0,69370,0,0
1,1,40,2,107585,1,2
0,1,28,1,106222,1,0
0,0,25,0,71159,0,0
1,1,24,1,92498,1,0
0,0,26,0,107508,1,2
1,1,24,1,94629,1,2
0,0,29,0,87598,0,2
1,1,65,3,69487,0,0
0,0,38,1,81155,0,0
0,0,29,0,94356,1,2
1,1,33,1,84404,0,0
0,1,40,1,108278,1,1
0,0,24,0,85270,0,0
1,1,46,2,108291,0,0
1,1,33,1,103091,0,0
1,1,28,1,106873,1,1
1,1,22,1,97757,1,2
0,0,46,1,103387,1,1
1,1,21,1,93916,1,2
0,0,43,1,77205,0,0
0,0,24,0,65917,0,0
1,1,22,1,109676,1,0
0,0,30,0,95682,1,2
1,1,23,1,99822,1,0
1,1,28,1,84582,0,0
0,0,31,0,69571,0,0
0,0,31,0,93648,1,2
0,0,42,1,77472,0,0
0,1,43,2,82082,0,0
0,1,40,1,78436,0,0
0,0,24,0,99737,1,2
1,1,29,1,108400,1,2
0,0,37,1,79594,0,0
0,0,45,1,104355,0,0
0,1,30,1,103699,1,1
0,1,22,1,63972,0,0
0,0,23,0,108540,0,0
0,0,40,1,99723,0,0
1,1,29,1,41680,0,0
0,0,47,1,91858,0,0
0,0,30,0,73401,0,0
1,1,25,1,100794,1,2
0,0,48,1,94024,0,0
0,0,37,1,93740,0,0
0,0,34,1,85685,0,0
0,1,23,1,69997,0,0
1,1,31,1,78489,0,0
0,0,38,1,98032,1,2
0,0,23,0,96060,1,0
0,1,65,3,69487,0,2
0,1,67,3,71823,0,2
0,0,38,1,82398,1,1
0,1,40,1,107710,1,1
0,1,20,1,89605,1,1
0,1,24,1,94249,2,2
0,1,20,1,107270,1,2
0,1,30,1,90500,2,2
0,0,37,1,102733,1,1
0,1,31,1,104406,1,1
0,1,34,1,110145,1,2
0,0,39,1,91019,2,1
0,1,18,1,98992,1,1
0,0,36,1,102180,1,2
0,1,31,1,106924,0,1
0,0,42,1,102133,1,1
0,0,33,1,98498,0,1
0,1,26,1,97932,2,2
0,0,32,1,97306,2,1
0,0,37,1,104349,0,1
0,0,35,1,110181,0,2
0,0,37,1,105055,1,2
0,1,26,1,94986,1,2
0,0,34,1,97474,2,2
0,1,25,1,102937,1,2
0,1,29,1,107514,1,2
0,1,56,2,108559,0,1
0,0,42,1,92430,0,1
0,0,44,1,107301,1,2
0,1,29,1,103767,2,1
0,1,26,1,94650,0,2
0,1,31,1,106266,2,2
0,1,21,1,101471,2,1
0,1,22,1,100273,1,2
0,0,46,1,98520,1,2
0,0,46,1,106576,1,1
0,0,40,1,109992,1,2
1,0,27,1,90654,0,0
1,1,29,1,100093,1,1
1,0,33,1,109489,1,0
1,1,19,1,99119,1,0
1,1,28,1,91084,1,1
1,1,24,1,110137,1,1
1,1,27,1,67041,0,0
1,0,26,1,84555,0,0
1,1,23,1,94324,1,1
1,1,28,1,96062,1,0
1,1,27,1,107485,1,1
1,1,32,1,98573,1,0
1,0,24,1,107462,0,0
1,1,25,1,94075,1,0
1,1,57,2,62002,0,0
1,1,25,1,61907,0,0
1,0,31,1,89287,0,0
1,0,33,1,103696,1,1
1,1,27,1,107932,0,0
1,1,22,1,85974,0,0
1,0,25,1,93233,0,0
1,1,27,1,67965,0,0
1,1,27,1,88001,0,0
1,1,32,1,109324,1,1
1,1,21,1,107779,1,1
1,1,29,1,103526,1,0
1,1,31,1,93171,0,0
1,0,26,1,106559,0,0
1,0,38,1,102855,1,1
1,0,35,1,85381,0,0
1,1,27,1,100762,1,1
1,1,19,1,99519,1,1
1,0,42,1,110509,1,0
1,1,27,1,106446,1,1
1,1,39,2,89665,0,0
1,1,27,1,65560,0,0
1,0,22,1,63635,0,0
1,1,29,1,99556,1,0
1,0,34,1,36760,0,0
1,0,33,1,71935,0,0
1,1,26,1,54296,0,0
1,1,39,1,80014,0,0
1,1,44,2,77887,0,0
1,1,46,2,98517,0,0
1,1,31,1,103012,0,0
1,1,22,1,91359,1,1
1,0,48,2,104833,0,0
1,1,27,1,101209,1,0
1,0,30,1,58207,0,0
1,1,36,1,107471,1,1
1,1,26,1,106922,1,1
1,0,24,1,104291,1,0
1,1,29,1,98204,1,0
1,1,45,2,85115,0,0
1,1,58,2,104013,0,0
1,1,25,1,89863,1,0
1,1,53,2,107861,0,0
1,0,20,1,91270,0,0
1,1,27,1,40606,0,0
1,1,30,1,106876,1,1
1,0,27,1,78923,0,0
1,1,25,1,75184,0,0
1,0,24,1,109693,1,0
1,1,63,2,86273,0,0
1,1,22,1,109274,0,0
1,1,24,1,99570,1,1
1,1,44,2,108627,0,0
1,0,25,1,106355,1,0
1,1,27,1,96952,1,0
1,1,34,1,110420,1,1
1,1,18,1,97741,1,1
1,1,25,1,99583,1,1
1,1,21,1,63698,0,0
1,1,30,1,100195,1,1
1,1,25,1,104062,1,1
1,0,70,3,69915,0,0
1,0,35,1,68731,0,0
1,1,26,1,105726,1,0
1,0,29,1,78078,0,0
1,1,22,1,110835,0,0
1,1,36,1,92723,0,0
1,1,35,1,107509,1,1
1,1,24,1,100733,1,0
1,1,34,1,92652,0,0
1,1,25,1,106987,1,0
1,1,54,2,51882,0,0
1,0,46,2,104751,0,0
1,1,42,1,50947,0,0
1,0,48,2,110223,0,0
1,0,21,1,100591,0,0
1,1,36,1,110221,1,1
1,1,32,1,99703,0,0
1,1,26,1,106667,0,0
1,1,50,2,93390,0,0
1,1,39,1,97577,1,0
1,1,36,1,81136,0,0
1,1,36,1,85623,0,0
1,1,26,1,106470,1,1
1,0,27,1,100560,0,0
1,1,58,2,108442,0,0
1,1,27,1,64472,0,0
1,1,43,2,101680,1,0
1,0,45,2,92342,0,0
1,1,27,1,98611,0,0
1,1,34,1,97613,1,1
1,1,21,1,82298,0,0
1,1,43,2,108725,0,0
1,0,25,1,85569,0,0
1,0,57,2,110372,0,0
1,1,26,1,100511,1,1
1,0,30,1,110455,1,0
1,0,22,1,105230,1,0
1,1,21,1,90656,1,1
1,1,22,1,59955,0,0
1,0,24,1,80830,0,0
1,1,26,1,102543,1,1
1,0,28,1,101948,1,0
1,1,26,1,105434,1,1
1,1,31,1,106115,1,0
1,0,27,1,97192,1,0
1,1,59,2,62101,0,0
1,1,26,1,66645,0,0
1,0,33,1,83429,0,0
1,0,37,1,107539,1,1
1,0,26,1,100402,0,0
1,1,25,1,89331,0,0
1,0,25,1,93526,0,0
1,1,21,1,70170,0,0
1,1,27,1,82357,0,0
1,1,30,1,103326,1,1
1,1,23,1,105365,1,1
1,1,31,1,95911,1,0
1,1,29,1,88669,0,0
1,0,22,1,103776,0,0
1,1,26,1,108864,1,1
1,0,39,1,106037,1,1
1,0,35,1,84851,0,0
1,1,26,1,95748,1,1
1,1,22,1,95712,1,1
1,1,26,1,109063,1,0
1,1,29,1,109380,1,1
1,1,42,2,82558,0,0
1,1,27,1,68834,0,0
1,0,28,1,63882,0,0
1,1,32,1,99327,1,0
1,0,32,1,45590,0,0
1,0,30,1,71167,0,0
1,1,24,1,49672,0,0
1,1,36,1,75536,0,0
1,1,40,2,86720,0,0
1,1,51,2,97729,0,0
1,1,33,1,106808,0,0
1,1,29,1,97731,1,1
1,0,48,2,109196,0,0
1,1,25,1,94905,1,0
1,0,28,1,57480,0,0
1,1,23,1,109175,1,1
1,1,25,1,109499,1,1
1,0,25,1,104696,1,0
1,1,27,1,104467,1,0
1,1,46,2,81200,0,0
1,1,61,2,97558,0,0
1,1,25,1,95914,1,0
1,1,49,2,101734,0,0
1,0,19,1,91232,0,0
1,1,31,1,110040,1,1
1,1,27,1,38247,0,0
1,1,24,1,103181,1,1
1,0,28,1,82351,0,0
1,1,26,1,82940,0,0
1,0,21,1,108029,1,0
1,1,63,2,82734,0,0
1,1,31,1,104074,1,1
1,1,49,2,106960,0,0
1,0,26,1,108323,1,0
1,1,28,1,95784,1,0
1,1,36,1,104235,1,1
1,1,27,1,54041,0,0
0,0,23,0,107961,0,0
1,1,27,1,94884,1,0
1,1,23,1,64952,0,0
0,1,27,1,66764,0,0
1,0,38,1,67861,0,0
1,1,42,1,46109,0,0
1,1,25,1,103651,0,0
0,1,40,1,75043,0,0
1,0,39,1,96614,0,0
0,0,24,0,66447,0,0
1,1,36,1,81609,0,0
0,0,36,1,105519,1,0
1,1,40,1,86649,0,0
1,0,31,0,76384,0,0
0,1,27,1,67136,0,0
1,1,35,1,93155,0,0
1,0,26,0,64860,0,0
0,0,33,1,87232,0,0
1,1,27,1,92304,0,0
0,0,38,1,84254,0,0
1,0,30,0,106696,1,0
0,0,23,0,71076,0,0
1,1,21,1,92442,0,0
1,0,36,1,75297,0,0
1,1,24,1,65707,0,0
0,0,27,0,73265,0,0
0,1,40,1,77481,0,0
1,1,34,1,91282,0,0
0,0,40,1,104405,0,0
0,0,33,1,99646,1,0
1,0,49,1,97791,0,0
0,0,28,0,81878,0,0
1,1,26,1,107908,1,0
1,0,40,1,98608,0,0
0,0,47,1,95228,0,0
1,1,29,1,94325,0,0
1,1,37,1,90815,0,0
0,0,35,1,110159,1,0
1,1,29,1,75161,0,0
0,0,37,1,83660,0,0
1,1,26,1,87400,0,0
1,1,28,1,78942,0,0
1,1,23,1,88452,0,0
0,0,38,1,104128,1,0
1,1,30,1,100313,1,0
1,0,45,1,107387,1,0
0,0,24,0,84355,0,0
0,1,30,1,106597,1,0
1,1,26,1,92559,0,0
1,1,25,1,87537,0,0
1,1,23,1,70569,0,0
1,1,27,1,85294,0,0
1,0,26,0,70905,0,0
0,0,25,0,103716,0,0
0,1,27,1,94947,1,0
1,0,42,1,80116,0,0
0,0,35,1,86492,0,0
1,1,25,1,88672,0,0
1,1,26,1,82984,0,0
1,0,28,0,72869,0,0
1,0,40,1,94674,0,0
1,1,23,1,101003,1,0
1,0,28,0,108645,0,0
0,0,41,1,69415,0,0
1,1,23,1,109700,1,0
1,1,26,1,104484,1,0
1,1,22,1,61239,0,0
1,0,38,1,81014,0,0
1,1,22,1,68165,0,0
1,0,30,0,88652,0,0
0,0,38,1,75705,0,0
1,1,36,1,104189,1,0
0,0,41,1,71603,0,0
1,1,31,1,106637,1,0
1,0,31,0,99800,1,0
1,0,21,0,67629,0,0
0,0,29,0,89170,0,0
1,0,34,1,109195,1,0
1,0,38,1,92392,0,0
1,1,33,1,43805,0,0
1,1,28,1,68389,0,0
0,0,21,0,59255,0,0
1,1,29,1,98612,0,0
1,1,26,1,70649,0,0
1,0,40,1,95228,0,0
1,0,25,0,46865,0,0
0,1,20,1,101688,1,0
1,1,23,1,62618,0,0
1,0,27,0,102531,1,0
1,0,36,1,100737,1,0
1,1,25,1,107321,1,0
1,0,24,0,69419,0,0
1,0,40,1,79076,0,0
0,0,39,1,84779,0,0
1,0,42,1,77393,0,0
1,1,27,1,99100,1,0
0,0,27,0,64954,0,0
1,1,23,1,103244,1,0
0,0,22,0,103519,1,0
0,0,23,0,70783,0,0
1,1,26,1,109782,0,0
1,1,28,1,78322,0,0
1,0,49,1,102463,0,0
1,0,38,1,89309,0,0
1,0,47,1,110287,1,0
1,0,32,0,81907,0,0
1,1,24,1,97909,0,0
1,0,25,0,68051,0,0
0,0,33,1,82414,0,0
1,1,24,1,66537,0,0
1,0,41,1,78963,0,0
0,1,33,1,108694,1,0
1,1,26,1,100892,1,0
1,1,26,1,69831,0,0
0,0,31,0,69375,0,0
0,1,26,1,71310,0,0
0,0,47,1,73913,0,0
0,1,20,1,95492,1,0
0,0,45,1,109329,0,0
0,1,31,1,81987,0,0
1,0,41,1,83481,0,0
1,0,31,0,72361,0,0
1,1,27,1,106625,0,0
1,0,43,1,79353,0,0
1,0,32,0,68347,0,0
0,0,37,1,89946,0,0
1,0,35,1,86319,0,0
1,1,23,1,70963,0,0
0,0,40,1,106120,1,0
1,1,26,1,97856,1,0
0,0,28,0,61824,0,0
1,1,40,1,103907,1,0
1,1,26,1,99953,0,0
0,0,26,0,107091,0,0
1,0,49,1,92281,0,0
1,1,26,1,96219,1,0
1,0,35,1,86221,0,0
1,1,24,1,80962,0,0
1,0,46,1,78754,0,0
0,0,26,0,60026,0,0
0,0,47,1,88157,0,0
0,0,27,0,59881,0,0
1,1,29,1,102250,1,0
1,1,28,1,38980,0,0
1,1,33,1,81807,0,0
1,0,50,1,93148,0,0
1,1,32,1,108032,1,0
0,1,31,1,89335,0,0
0,0,52,1,95639,0,0
1,1,34,1,87801,0,0
1,1,22,1,92538,1,0
0,1,33,1,83687,0,0
1,0,45,1,104754,0,0
0,1,25,1,68222,0,0
1,1,41,1,97006,0,0
1,0,36,1,107372,0,0
1,1,27,1,110511,1,0
0,0,40,1,72193,0,0
1,0,37,1,95972,0,0
0,0,35,1,105556,0,0
0,0,34,1,88701,0,0
1,0,44,1,76057,0,0
0,1,27,1,100392,1,0
1,1,18,1,100924,1,0
1,0,25,0,72188,0,0
1,1,40,1,70431,0,0
0,1,28,1,110103,1,0
1,1,23,1,60825,0,0
1,1,35,1,75100,0,0
1,0,23,0,95541,1,0
1,1,29,1,51496,0,0
1,0,35,1,102781,1,0
1,1,32,1,87494,0,0
1,0,46,1,72728,0,0
1,1,27,1,101620,0,0
1,1,24,1,87964,0,0
1,0,33,0,69523,0,0
1,1,24,1,109486,1,0
1,0,28,0,77206,0,0
1,0,35,1,53608,0,0
1,1,24,1,65852,0,0
0,0,34,1,75626,0,0
0,0,37,1,107073,1,0
1,1,32,1,82196,0,0
1,1,33,1,106741,0,0
0,1,28,1,94518,1,0
1,1,26,1,57165,0,0
1,0,25,0,109610,0,0
1,1,30,1,93854,1,0
0,1,23,1,66804,0,0
0,1,25,1,62689,0,0
1,0,40,1,67619,0,0
1,1,43,1,48632,0,0
1,1,22,1,107394,0,0
0,1,39,1,72385,0,0
0,0,40,1,93183,0,0
0,0,24,0,63506,0,0
1,1,34,1,78281,0,0
1,0,38,1,103926,1,0
0,1,39,1,89097,0,0
1,0,29,0,80852,0,0
0,1,25,1,65207,0,0
1,1,35,1,93495,0,0
0,0,26,0,62027,0,0
0,0,33,1,88602,0,0
0,1,29,1,89914,0,0
0,0,39,1,83342,0,0
0,0,29,0,103439,1,0
0,0,24,0,68250,0,0
1,1,20,1,91177,0,0
1,0,35,1,73266,0,0
1,1,24,1,69021,0,0
0,0,29,0,75160,0,0
1,1,39,1,81973,0,0
1,1,35,1,92194,0,0
0,0,42,1,107380,0,0
1,0,32,1,98023,1,0
0,0,48,1,94868,0,0
0,0,26,0,83442,0,0
1,1,26,1,109887,1,0
0,0,42,1,98876,0,0
0,0,48,1,94962,0,0
1,1,27,1,94095,0,0
1,1,37,1,95071,0,0
1,1,31,1,80189,0,0
1,0,40,1,82673,0,0
1,1,28,1,88858,0,0
1,1,26,1,80540,0,0
1,1,24,1,84228,0,0
0,0,40,1,103963,1,0
1,1,29,1,102397,1,0
0,0,23,0,88260,0,0
1,1,33,1,104755,1,0
1,1,26,1,96082,0,0
1,1,23,1,87227,0,0
1,1,26,1,69333,0,0
1,1,27,1,87777,0,0
0,0,24,0,70978,0,0
0,0,27,0,104196,0,0
1,1,26,1,97551,1,0
1,0,42,1,78979,0,0
1,0,37,1,82500,0,0
1,1,26,1,86306,0,0
1,1,24,1,78762,0,0
0,0,26,0,70336,0,0
0,0,38,1,96681,0,0
1,1,24,1,98922,1,0
1,0,26,0,109250,1,0
0,0,25,0,108960,0,0
0,0,40,1,71302,0,0
1,0,48,1,107757,0,0
1,1,25,1,102974,1,0
0,1,24,1,63442,0,0
0,0,39,1,80987,0,0
1,1,21,1,68790,0,0
1,0,27,0,86462,0,0
0,0,40,1,76881,0,0
1,1,37,1,107409,1,0
1,0,42,1,69114,0,0
1,1,31,1,102018,1,0
0,0,30,0,97680,1,0
1,0,23,0,65062,0,0
1,0,29,0,85637,0,0
0,0,39,1,93554,0,0
1,1,33,1,42516,0,0
0,1,26,1,72429,0,0
1,1,27,1,110154,1,0
1,0,20,0,60965,0,0
1,1,27,1,100618,0,0
1,1,26,1,71021,0,0
0,0,40,1,94189,0,0
0,0,24,0,44742,0,0
1,1,22,1,103201,1,0
1,1,24,1,62335,0,0
1,0,27,0,103787,1,0
0,0,35,1,99401,1,0
0,1,27,1,105197,1,0
1,0,24,0,67936,0,0
0,0,42,1,77317,0,0
1,0,38,1,84653,0,0
0,0,42,1,81606,0,0
1,1,27,1,100644,1,0
0,0,25,0,64037,0,0
1,1,23,1,101350,1,0
0,0,21,0,103470,1,0
0,0,25,0,66628,0,0
1,1,25,1,106567,0,0
1,1,31,1,78758,0,0
1,0,51,1,101074,0,0
1,0,38,1,87670,0,0
0,0,31,0,86400,0,0
1,1,24,1,97968,0,0
0,0,25,0,68416,0,0
